Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,*C:Game Name,*C:Platform,C:Publisher,C:Genre,C:Rating,C:Region Code,C:Release Year,C:MPN,C:Unit Quantity,C:Unit Type,C:Video Game Series,C:Features,C:Country of Origin,C:Sub-Genre,C:California Prop 65 Warning,C:Manufacturer Warranty,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,,139973,,6IV Shiny Amoonguss Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Amoonguss.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY AMOONGUSS 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Torchic Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Torchic.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY TORCHIC 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Virizion Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Virizion.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY VIRIZION 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Cobalion Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Cobalion.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY COBALION 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Starly Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Starly.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY STARLY 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Mr. Rime Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Mr_Rime.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY MR. RIME 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Glimmet Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Glimmet.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY GLIMMET 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Glimmora Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Glimmora.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY GLIMMORA 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Baxcalibur Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Baxcalibur.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY BAXCALIBUR 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Mudkip Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Mudkip.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY MUDKIP 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
