*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,*C:Game Name,*C:Platform,C:Publisher,C:Genre,C:Rating,C:Region Code,C:Release Year,C:MPN,C:Unit Quantity,C:Unit Type,C:Video Game Series,C:Features,C:Country of Origin,C:Sub-Genre,C:California Prop 65 Warning,C:Manufacturer Warranty,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,ZA_6IV_SHINY_GRAPPLOCT,139973,,6IV Shiny Grapploct Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%85%AB%E7%88%AA%E6%AD%A6%E5%B8%88.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY GRAPPLOCT 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_GOLISOPOD,139973,,6IV Shiny Golisopod Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%85%B7%E7%94%B2%E6%AD%A6%E8%80%85.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY GOLISOPOD 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_GLACEON,139973,,6IV Shiny Glaceon Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%86%B0%E4%BC%8A%E5%B8%83.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY GLACEON 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_BERGMITE,139973,,6IV Shiny Bergmite Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%86%B0%E5%AE%9D.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY BERGMITE 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_AVALUGG,139973,,6IV Shiny Avalugg Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%86%B0%E5%B2%A9%E6%80%AA.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY AVALUGG 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_AURORUS,139973,,6IV Shiny Aurorus Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%86%B0%E9%9B%AA%E5%B7%A8%E9%BE%99.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY AURORUS 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_AMAURA,139973,,6IV Shiny Amaura Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%86%B0%E9%9B%AA%E9%BE%99.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY AMAURA 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_GLALIE,139973,,6IV Shiny Glalie Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%86%B0%E9%AC%BC%E6%8A%A4.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY GLALIE 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_PANPOUR,139973,,6IV Shiny Panpour Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%86%B7%E6%B0%B4%E7%8C%B4.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY PANPOUR 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ZA_6IV_SHINY_SIMIPOUR,139973,,6IV Shiny Simipour Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,https://raw.githubusercontent.com/tallasd/pic/main/output/output_%E5%86%B7%E6%B0%B4%E7%8C%BF.png|https://raw.githubusercontent.com/tallasd/pic/main/Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY SIMIPOUR 6IV + FREE MASTERBALL GIFT</h1><p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p><p><strong>How to trade in Pokémon Legends Z-A:</strong></p><p>Press """"+"""" and select """"Begin Searching"""".</p>",FixedPrice,GTC,4.49,,,,,10,,United States,Flat,USPSFirstClass,0,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
